tool_cost,algo,seed,policy,avg_user_reward,avg_net_reward,avg_session_length,avg_genre_diversity,tool_rate
0.0,reinforce,42,always_baseline,2.783333,2.783333,7.416667,1.008333,0.0
0.0,reinforce,42,always_tool,17.958333,17.958333,20.0,2.466667,1.0
0.0,reinforce,42,heuristic_gain_gate,17.958333,17.958333,20.0,2.466667,0.8725
0.0,reinforce,42,learned_argmax,17.958333,17.958333,20.0,2.466667,1.0
0.0,reinforce,42,learned_sample,15.955833,15.955833,19.941667,2.358333,0.641454
0.0,reinforce,43,always_baseline,2.7675,2.7675,7.408333,1.008333,0.0
0.0,reinforce,43,always_tool,17.958333,17.958333,20.0,2.466667,1.0
0.0,reinforce,43,heuristic_gain_gate,17.958333,17.958333,20.0,2.466667,0.87
0.0,reinforce,43,learned_argmax,2.7675,2.7675,7.408333,1.008333,0.0
0.0,reinforce,43,learned_sample,11.27,11.27,16.8,2.183333,0.388889
0.0,reinforce,44,always_baseline,2.775,2.775,7.416667,1.008333,0.0
0.0,reinforce,44,always_tool,17.958333,17.958333,20.0,2.458333,1.0
0.0,reinforce,44,heuristic_gain_gate,17.958333,17.958333,20.0,2.458333,0.87
0.0,reinforce,44,learned_argmax,17.958333,17.958333,20.0,2.458333,1.0
0.0,reinforce,44,learned_sample,15.745,15.745,19.8,2.416667,0.643939
0.0,grpo,42,always_baseline,2.783333,2.783333,7.416667,1.008333,0.0
0.0,grpo,42,always_tool,17.958333,17.958333,20.0,2.466667,1.0
0.0,grpo,42,heuristic_gain_gate,17.958333,17.958333,20.0,2.466667,0.8725
0.0,grpo,42,learned_argmax,17.958333,17.958333,20.0,2.466667,1.0
0.0,grpo,42,learned_sample,16.461667,16.461667,19.966667,2.391667,0.72621
0.0,grpo,43,always_baseline,2.7675,2.7675,7.408333,1.008333,0.0
0.0,grpo,43,always_tool,17.958333,17.958333,20.0,2.466667,1.0
0.0,grpo,43,heuristic_gain_gate,17.958333,17.958333,20.0,2.466667,0.87
0.0,grpo,43,learned_argmax,7.783333,7.783333,14.416667,1.941667,0.13237
0.0,grpo,43,learned_sample,12.705833,12.705833,17.691667,2.233333,0.479981
0.0,grpo,44,always_baseline,2.775,2.775,7.416667,1.008333,0.0
0.0,grpo,44,always_tool,17.958333,17.958333,20.0,2.458333,1.0
0.0,grpo,44,heuristic_gain_gate,17.958333,17.958333,20.0,2.458333,0.87
0.0,grpo,44,learned_argmax,17.958333,17.958333,20.0,2.458333,1.0
0.0,grpo,44,learned_sample,16.195833,16.195833,19.875,2.366667,0.694759
0.03,reinforce,42,always_baseline,2.783333,2.783333,7.416667,1.008333,0.0
0.03,reinforce,42,always_tool,17.958333,17.358333,20.0,2.466667,1.0
0.03,reinforce,42,heuristic_gain_gate,17.958333,17.434833,20.0,2.466667,0.8725
0.03,reinforce,42,learned_argmax,17.958333,17.358333,20.0,2.466667,1.0
0.03,reinforce,42,learned_sample,15.939167,15.555667,19.941667,2.358333,0.641036
0.03,reinforce,43,always_baseline,2.7675,2.7675,7.408333,1.008333,0.0
0.03,reinforce,43,always_tool,17.958333,17.358333,20.0,2.466667,1.0
0.03,reinforce,43,heuristic_gain_gate,17.958333,17.436333,20.0,2.466667,0.87
0.03,reinforce,43,learned_argmax,2.7675,2.7675,7.408333,1.008333,0.0
