seed,policy,sessions,avg_user_reward,avg_net_reward,avg_session_length,avg_genre_diversity,avg_budget_spent,tool_calls_per_decision,multi_tool_decision_rate,invalid_action_rate,agent_actions_per_decision,tool_mix,selected_source_share
42,stop_and_serve,120,2.7725,2.7725,7.608333,1.008333,0.0,0.0,0.0,0.0,1.0,"{""diversity_search"": 0.0, ""fatigue_scan"": 0.0, ""preference_probe"": 0.0}","{""baseline"": 1.0}"
42,fatigue_then_serve,120,12.5675,11.9675,18.241667,2.383333,0.6,0.657835,0.0,0.0,1.657835,"{""diversity_search"": 0.0, ""fatigue_scan"": 1.0, ""preference_probe"": 0.0}","{""baseline"": 0.452261, ""fatigue_scan"": 0.547739}"
42,preference_then_serve,120,6.673333,6.073333,12.183333,2.2,0.6,0.410397,0.0,0.0,1.410397,"{""diversity_search"": 0.0, ""fatigue_scan"": 0.0, ""preference_probe"": 1.0}","{""baseline"": 0.647743, ""preference_probe"": 0.352257}"
42,budgeted_rule,120,15.869167,15.379583,19.975,3.733333,0.489583,0.607843,0.0,0.0,1.607843,"{""diversity_search"": 0.483871, ""fatigue_scan"": 0.516129, ""preference_probe"": 0.0}","{""baseline"": 0.470588, ""diversity_search"": 0.216521, ""fatigue_scan"": 0.312891}"
42,oracle_one_step,120,16.82,16.275,19.966667,5.183333,0.545,0.75793,0.0,0.0,1.75793,"{""diversity_search"": 0.699339, ""fatigue_scan"": 0.300661, ""preference_probe"": 0.0}","{""baseline"": 0.24207, ""diversity_search"": 0.53005, ""fatigue_scan"": 0.22788}"
42,random_unmasked,120,9.62,7.094833,15.883333,3.608333,0.588083,0.576076,0.165268,0.607474,4.015215,"{""diversity_search"": 0.354281, ""fatigue_scan"": 0.340619, ""preference_probe"": 0.3051}","{""baseline"": 0.647429, ""diversity_search"": 0.106506, ""fatigue_scan"": 0.127492, ""preference_probe"": 0.118573}"
42,learned_masked_grpo_argmax,120,2.7725,2.7725,7.608333,1.008333,0.0,0.0,0.0,0.0,1.0,"{""diversity_search"": 0.0, ""fatigue_scan"": 0.0, ""preference_probe"": 0.0}","{""baseline"": 1.0}"
42,learned_masked_grpo_sample,120,12.028333,11.451917,17.966667,3.9,0.576417,0.605288,0.172078,0.0,1.605288,"{""diversity_search"": 0.439847, ""fatigue_scan"": 0.391571, ""preference_probe"": 0.168582}","{""baseline"": 0.620594, ""diversity_search"": 0.121058, ""fatigue_scan"": 0.186456, ""preference_probe"": 0.071892}"
43,stop_and_serve,120,2.735833,2.735833,7.558333,1.008333,0.0,0.0,0.0,0.0,1.0,"{""diversity_search"": 0.0, ""fatigue_scan"": 0.0, ""preference_probe"": 0.0}","{""baseline"": 1.0}"
43,fatigue_then_serve,120,12.550833,11.950833,18.241667,2.383333,0.6,0.657835,0.0,0.0,1.657835,"{""diversity_search"": 0.0, ""fatigue_scan"": 1.0, ""preference_probe"": 0.0}","{""baseline"": 0.453175, ""fatigue_scan"": 0.546825}"
43,preference_then_serve,120,6.694167,6.094167,12.225,2.208333,0.6,0.408998,0.0,0.0,1.408998,"{""diversity_search"": 0.0, ""fatigue_scan"": 0.0, ""preference_probe"": 1.0}","{""baseline"": 0.648262, ""preference_probe"": 0.351738}"
43,budgeted_rule,120,15.860833,15.371083,19.975,3.741667,0.48975,0.607843,0.0,0.0,1.607843,"{""diversity_search"": 0.483185, ""fatigue_scan"": 0.516815, ""preference_probe"": 0.0}","{""baseline"": 0.470588, ""diversity_search"": 0.216103, ""fatigue_scan"": 0.313308}"
43,oracle_one_step,120,16.803333,16.257667,19.966667,5.166667,0.545667,0.757095,0.0,0.0,1.757095,"{""diversity_search"": 0.695149, ""fatigue_scan"": 0.304851, ""preference_probe"": 0.0}","{""baseline"": 0.242905, ""diversity_search"": 0.526294, ""fatigue_scan"": 0.230801}"
43,random_unmasked,120,9.748333,7.248083,16.016667,3.516667,0.588167,0.585848,0.176899,0.60089,3.973465,"{""diversity_search"": 0.366785, ""fatigue_scan"": 0.347247, ""preference_probe"": 0.285968}","{""baseline"": 0.644121, ""diversity_search"": 0.099896, ""fatigue_scan"": 0.1436, ""preference_probe"": 0.112383}"
43,learned_masked_grpo_argmax,120,2.735833,2.735833,7.558333,1.008333,0.0,0.0,0.0,0.0,1.0,"{""diversity_search"": 0.0, ""fatigue_scan"": 0.0, ""preference_probe"": 0.0}","{""baseline"": 1.0}"
