update,objective_return,user_return,net_return,tool_rate,entropy,loss,elapsed_s
1,12.140937,12.3875,12.140937,0.473022,0.690344,0.005739,0.893
2,13.224687,13.49375,13.224687,0.484797,0.691523,-8.5e-05,1.787
3,13.7975,14.103125,13.7975,0.528363,0.690344,-0.008385,2.745
4,13.670625,13.96875,13.670625,0.521311,0.690786,-0.012992,3.666
5,14.073125,14.403125,14.073125,0.566828,0.68735,-0.022429,4.658
6,14.450312,14.8,14.450312,0.607492,0.68394,-0.022649,5.651
7,13.360312,13.659375,13.360312,0.55095,0.685043,-0.021813,6.558
8,13.057812,13.3625,13.057812,0.566202,0.679667,-0.034078,7.438
9,14.548437,14.890625,14.548437,0.593496,0.678712,-0.033293,8.339
10,14.3825,14.73125,14.3825,0.613861,0.675292,-0.033291,9.254
11,14.215625,14.553125,14.215625,0.587276,0.664086,-0.057872,10.177
12,13.8675,14.19375,13.8675,0.591837,0.666555,-0.02486,11.05
13,14.84875,15.203125,14.84875,0.6048,0.66002,-0.062892,12.016
14,15.009062,15.390625,15.009062,0.661789,0.638821,-0.064843,12.918
15,15.919062,16.34375,15.919062,0.707812,0.62335,-0.012098,13.864
16,15.803437,16.21875,15.803437,0.692187,0.620637,-0.039494,14.805
17,15.474375,15.890625,15.474375,0.699213,0.626942,-0.027583,15.749
18,14.785312,15.159375,14.785312,0.655172,0.613901,-0.046997,16.73
19,15.941562,16.353125,15.941562,0.689168,0.615438,-0.032931,17.761
20,15.878437,16.3125,15.878437,0.723437,0.571404,-0.035014,18.699
21,16.155625,16.58125,16.155625,0.716088,0.588016,-0.047063,19.617
22,16.224062,16.65625,16.224062,0.720313,0.584958,-0.054306,20.555
23,15.806875,16.24375,15.806875,0.749196,0.569482,-0.066199,21.483
24,16.295625,16.725,16.295625,0.729299,0.582442,-0.0561,22.433
25,15.725937,16.165625,15.725937,0.748006,0.560602,-0.04601,23.452
26,16.415625,16.875,16.415625,0.765625,0.552864,-0.035118,24.492
27,16.14125,16.60625,16.14125,0.779874,0.539114,-0.01919,25.531
28,15.731562,16.184375,15.731562,0.777778,0.519846,-0.113626,26.507
29,15.578437,16.05,15.578437,0.80609,0.52207,-0.087937,27.695
30,16.438437,16.90625,16.438437,0.779687,0.516395,-0.037006,28.736
