update,objective_return,user_return,net_return,tool_rate,entropy,loss,elapsed_s
1,12.49875,12.3875,12.140937,0.473022,0.690344,0.005774,1.098
2,13.6075,13.49375,13.224687,0.484797,0.691522,-0.000106,2.004
3,14.263125,14.103125,13.7975,0.528363,0.690345,-0.008434,3.009
4,14.139375,13.96875,13.670625,0.521311,0.690781,-0.013339,3.91
5,14.568438,14.403125,14.073125,0.566828,0.687332,-0.022869,4.837
6,14.919063,14.8,14.450312,0.607492,0.683902,-0.023528,5.743
7,13.75875,13.659375,13.360312,0.55095,0.684987,-0.02214,6.648
8,13.526563,13.3625,13.057812,0.566202,0.679571,-0.034477,7.513
9,15.065625,14.890625,14.548437,0.593496,0.678616,-0.033655,8.428
10,14.890313,14.73125,14.3825,0.613861,0.675147,-0.034329,9.322
11,14.71,14.553125,14.214687,0.588907,0.663866,-0.057368,10.233
12,14.333125,14.19375,13.8675,0.591837,0.666349,-0.026651,11.114
13,15.404063,15.203125,14.847812,0.6064,0.659769,-0.063247,12.109
14,15.535625,15.390625,15.009062,0.661789,0.638411,-0.065786,13.035
15,16.587813,16.34375,15.919062,0.707812,0.622872,-0.015678,14.006
16,16.384375,16.21875,15.801562,0.695312,0.619896,-0.045448,14.964
17,16.093125,15.890625,15.474375,0.699213,0.626213,-0.031267,15.893
18,15.319375,15.159375,14.783437,0.658456,0.612968,-0.050746,16.802
19,16.52125,16.353125,15.941562,0.689168,0.614337,-0.035402,17.794
20,16.513438,16.34375,15.90875,0.725,0.569795,-0.038979,18.75
21,16.780625,16.58125,16.155625,0.716088,0.586348,-0.052548,19.708
22,16.87,16.65625,16.223125,0.721875,0.582619,-0.059489,20.662
23,16.417813,16.24375,15.806875,0.749196,0.566728,-0.069184,21.597
24,16.913438,16.725,16.294687,0.730892,0.579027,-0.062313,22.545
25,16.369688,16.165625,15.725937,0.748006,0.556886,-0.0498,23.536
26,17.199375,16.96875,16.505625,0.771875,0.548861,-0.046164,24.483
27,16.868125,16.6375,16.169687,0.784591,0.534839,-0.038554,25.413
28,16.400625,16.246875,15.79125,0.782609,0.51495,-0.111857,26.338
29,16.2875,16.08125,15.607812,0.809295,0.515491,-0.091446,27.267
30,17.159063,16.9375,16.466875,0.784375,0.510528,-0.04133,28.228
