update,objective_return,user_return,net_return,tool_rate,entropy,kl,loss,elapsed_s,algo
1,15.040313,14.8625,14.509062,0.624172,0.66378,-0.0,-0.006638,1.509,grpo
2,15.819375,15.675,15.317812,0.610577,0.663181,1.2e-05,-0.006631,2.78,grpo
3,16.065938,15.8625,15.489375,0.62776,0.661516,4.6e-05,-0.006613,4.066,grpo
4,14.117813,13.934375,13.59125,0.629948,0.660365,9.9e-05,-0.0066,5.265,grpo
5,14.82,14.646875,14.279375,0.639478,0.659469,0.000175,-0.006588,6.511,grpo
6,16.011563,15.875,15.470937,0.673438,0.658855,0.000273,-0.006578,7.813,grpo
7,14.723125,14.609375,14.27,0.608403,0.657492,0.000384,-0.00656,9.028,grpo
8,14.677813,14.478125,14.124687,0.631491,0.655494,0.000522,-0.006534,10.257,grpo
9,16.240938,16.03125,15.634687,0.660937,0.654566,0.00068,-0.006518,11.678,grpo
10,15.677188,15.484375,15.108437,0.6416,0.653393,0.000843,-0.0065,12.989,grpo
11,14.849375,14.678125,14.3275,0.600321,0.652307,0.001029,-0.006482,14.28,grpo
12,15.445,15.309375,14.9325,0.647343,0.651608,0.001229,-0.006467,15.595,grpo
13,15.8525,15.64375,15.260312,0.64511,0.649594,0.001458,-0.006438,16.926,grpo
14,15.767813,15.61875,15.233437,0.650316,0.648996,0.001692,-0.006422,18.256,grpo
15,16.256563,16.025,15.628438,0.669304,0.647178,0.001957,-0.006393,19.599,grpo
16,15.700625,15.534375,15.144375,0.661367,0.646383,0.002231,-0.006375,20.917,grpo
17,15.982813,15.775,15.390625,0.648734,0.644704,0.00254,-0.006345,22.303,grpo
18,16.46375,16.28125,15.899687,0.635938,0.643489,0.002862,-0.00632,23.629,grpo
19,15.945625,15.7875,15.419062,0.625796,0.642347,0.003191,-0.006296,24.905,grpo
20,15.391875,15.21875,14.837187,0.646032,0.640841,0.003533,-0.006267,26.211,grpo
21,15.995938,15.796875,15.411562,0.6576,0.639319,0.003903,-0.006237,27.503,grpo
22,16.26,16.075,15.675625,0.680511,0.638481,0.004254,-0.006215,28.8,grpo
23,16.713437,16.5625,16.136875,0.709375,0.637707,0.004626,-0.006192,30.096,grpo
24,16.072813,15.9125,15.53375,0.643312,0.635523,0.005012,-0.006155,31.377,grpo
25,14.694688,14.534375,14.179062,0.632721,0.634045,0.005439,-0.006123,32.679,grpo
26,15.8475,15.63125,15.231875,0.678344,0.632593,0.005905,-0.00609,33.966,grpo
27,15.98625,15.759375,15.344062,0.706539,0.631266,0.006393,-0.006057,35.262,grpo
28,15.976875,15.834375,15.437812,0.678973,0.630628,0.006854,-0.006032,36.552,grpo
29,16.248125,16.05,15.640312,0.689274,0.628305,0.007413,-0.005987,37.853,grpo
30,16.229063,16.03125,15.610312,0.701562,0.626886,0.007967,-0.00595,39.158,grpo
31,15.73625,15.5625,15.156562,0.676562,0.625411,0.008522,-0.005913,40.492,grpo
32,15.6075,15.4,14.990312,0.691456,0.623398,0.009155,-0.005868,41.816,grpo
33,16.325938,16.125,15.722812,0.670312,0.621592,0.00979,-0.005824,43.232,grpo
34,16.687188,16.46875,16.035625,0.721875,0.620106,0.010473,-0.005782,44.559,grpo
35,15.829688,15.634375,15.235937,0.688817,0.618255,0.011146,-0.005737,45.86,grpo
36,15.3425,15.1375,14.745625,0.678571,0.616268,0.011889,-0.005687,47.154,grpo
37,15.254375,15.065625,14.679375,0.66559,0.6142,0.012632,-0.005637,48.421,grpo
38,16.044688,15.84375,15.436875,0.688889,0.612772,0.013417,-0.005591,49.709,grpo
39,16.739375,16.59375,16.178437,0.692187,0.611899,0.014161,-0.005553,51.02,grpo
40,16.685313,16.46875,16.043125,0.709375,0.609039,0.015035,-0.005489,52.346,grpo
