update,objective_return,user_return,net_return,tool_rate,entropy,kl,loss,elapsed_s,algo
1,15.040313,14.8625,14.509062,0.624172,0.66378,0.0,-0.058251,1.563,reinforce
2,15.819375,15.675,15.317812,0.610577,0.663181,0.0,-0.0426,2.837,reinforce
3,16.065938,15.8625,15.489375,0.62776,0.661516,0.0,-0.031604,4.163,reinforce
4,14.117813,13.934375,13.59125,0.629948,0.660364,0.0,-0.05483,5.354,reinforce
5,14.82,14.646875,14.279375,0.639478,0.659468,0.0,-0.045622,6.594,reinforce
6,16.011563,15.875,15.470937,0.673438,0.658853,0.0,-0.024406,7.905,reinforce
7,14.723125,14.609375,14.27,0.608403,0.657488,0.0,-0.049,9.119,reinforce
8,14.677813,14.478125,14.124687,0.631491,0.655489,0.0,-0.048177,10.325,reinforce
9,16.240938,16.03125,15.634687,0.660937,0.654559,0.0,-0.016634,11.699,reinforce
10,15.677188,15.484375,15.108437,0.6416,0.653382,0.0,-0.053125,12.952,reinforce
11,14.848438,14.678125,14.326562,0.601926,0.652292,0.0,-0.032931,14.231,reinforce
12,15.445,15.309375,14.9325,0.647343,0.651584,0.0,-0.042372,15.48,reinforce
13,15.8525,15.64375,15.260312,0.64511,0.64956,0.0,-0.037443,16.771,reinforce
14,15.767813,15.61875,15.233437,0.650316,0.648953,0.0,-0.032408,18.032,reinforce
15,16.255625,16.025,15.6275,0.670886,0.647124,0.0,-0.048775,19.353,reinforce
16,15.700625,15.534375,15.144375,0.661367,0.646322,0.0,-0.048057,20.66,reinforce
17,15.982813,15.775,15.390625,0.648734,0.644635,0.0,-0.043804,22.024,reinforce
18,16.46375,16.28125,15.899687,0.635938,0.643411,0.0,-0.030147,23.328,reinforce
19,15.945625,15.7875,15.419062,0.625796,0.642259,0.0,-0.029066,24.624,reinforce
20,15.391875,15.21875,14.837187,0.646032,0.64074,0.0,-0.039903,25.903,reinforce
21,15.995938,15.796875,15.411562,0.6576,0.639204,0.0,-0.022267,27.194,reinforce
22,16.260625,16.075,15.674687,0.682109,0.638359,0.0,-0.0436,28.49,reinforce
23,16.713437,16.5625,16.136875,0.709375,0.63756,0.0,-0.035959,29.788,reinforce
24,16.072813,15.9125,15.53375,0.643312,0.635359,0.0,-0.057592,31.068,reinforce
25,14.694688,14.534375,14.179062,0.632721,0.633864,0.0,-0.048805,32.376,reinforce
26,15.8475,15.63125,15.231875,0.678344,0.632393,0.0,-0.05031,33.66,reinforce
27,15.98625,15.759375,15.344062,0.706539,0.631046,0.0,-0.050057,34.931,reinforce
28,15.976875,15.834375,15.437812,0.678973,0.630387,0.0,-0.058798,36.207,reinforce
29,16.248125,16.05,15.640312,0.689274,0.628042,0.0,-0.048491,37.494,reinforce
30,16.229063,16.03125,15.610312,0.701562,0.6266,0.0,-0.04893,38.776,reinforce
31,15.735313,15.5625,15.155625,0.678125,0.625101,0.0,-0.059148,40.072,reinforce
32,15.6075,15.4,14.990312,0.691456,0.623065,0.0,-0.058542,41.328,reinforce
33,16.325938,16.125,15.722812,0.670312,0.621236,0.0,-0.059423,42.683,reinforce
34,16.687188,16.46875,16.035625,0.721875,0.619726,0.0,-0.050805,43.971,reinforce
35,15.829688,15.634375,15.235937,0.688817,0.617848,0.0,-0.067064,45.194,reinforce
36,15.374375,15.16875,14.775937,0.680195,0.61584,0.0,-0.063779,46.438,reinforce
37,15.255,15.065625,14.678437,0.667205,0.613737,0.0,-0.061983,47.682,reinforce
38,16.045313,15.84375,15.435937,0.690476,0.612277,0.0,-0.045284,48.984,reinforce
39,16.74,16.59375,16.1775,0.69375,0.611398,0.0,-0.052429,50.27,reinforce
40,16.685313,16.46875,16.043125,0.709375,0.608472,0.0,-0.035818,51.553,reinforce
