policy,round,cum_reward,running_ctr
随机,1,1.0,1.00000
随机,1001,626.0,0.62537
随机,2001,1249.0,0.62419
随机,3001,1870.0,0.62313
随机,4001,2498.0,0.62434
随机,5001,3143.0,0.62847
随机,6001,3772.0,0.62856
随机,7001,4369.0,0.62405
随机,8001,4980.0,0.62242
随机,9001,5590.0,0.62104
随机,10001,6218.0,0.62174
随机,11001,6832.0,0.62103
随机,12001,7467.0,0.62220
随机,13001,8084.0,0.62180
随机,14001,8730.0,0.62353
随机,15001,9320.0,0.62129
随机,16001,9956.0,0.62221
随机,17001,10581.0,0.62238
随机,18001,11201.0,0.62224
随机,19001,11810.0,0.62155
随机,20001,12413.0,0.62062
随机,21001,13004.0,0.61921
随机,22001,13611.0,0.61865
随机,23001,14220.0,0.61823
随机,24001,14851.0,0.61877
随机,25001,15496.0,0.61982
随机,26001,16110.0,0.61959
随机,27001,16708.0,0.61879
随机,28001,17312.0,0.61826
随机,29001,17923.0,0.61801
随机,30001,18570.0,0.61898
随机,31001,19170.0,0.61837
随机,32001,19789.0,0.61839
随机,33001,20421.0,0.61880
随机,34001,21042.0,0.61886
随机,35001,21653.0,0.61864
随机,36001,22257.0,0.61823
随机,37001,22865.0,0.61796
随机,38001,23498.0,0.61835
随机,39001,24116.0,0.61834
随机,40001,24756.0,0.61888
随机,41001,25376.0,0.61891
随机,42001,26013.0,0.61934
随机,43001,26610.0,0.61882
随机,44001,27252.0,0.61935
随机,45001,27877.0,0.61948
随机,46001,28511.0,0.61979
随机,47001,29119.0,0.61954
随机,48001,29731.0,0.61938
随机,49001,30333.0,0.61903
随机,50001,30964.0,0.61927
随机,51001,31580.0,0.61920
随机,52001,32213.0,0.61947
随机,53001,32841.0,0.61963
随机,54001,33462.0,0.61966
随机,55001,34076.0,0.61955
随机,56001,34703.0,0.61969
随机,57001,35324.0,0.61971
随机,58001,35943.0,0.61970
随机,59001,36572.0,0.61985
随机,60001,37199.0,0.61997
随机,61001,37831.0,0.62017
随机,62001,38470.0,0.62047
随机,63001,39066.0,0.62009
随机,64001,39694.0,0.62021
随机,65001,40323.0,0.62034
随机,66001,40940.0,0.62029
随机,67001,41596.0,0.62083
随机,68001,42207.0,0.62068
随机,69001,42832.0,0.62074
随机,70001,43432.0,0.62045
随机,71001,44040.0,0.62027
随机,72001,44659.0,0.62026
随机,73001,45260.0,0.61999
随机,74001,45889.0,0.62011
随机,75001,46503.0,0.62003
随机,76001,47150.0,0.62039
随机,77001,47769.0,0.62037
随机,78001,48374.0,0.62017
随机,79001,48951.0,0.61963
随机,80001,49593.0,0.61990
随机,81001,50242.0,0.62026
随机,82001,50872.0,0.62038
随机,83001,51499.0,0.62046
随机,84001,52103.0,0.62027
随机,85001,52728.0,0.62032
随机,86001,53367.0,0.62054
随机,87001,53983.0,0.62049
随机,88001,54596.0,0.62040
随机,89001,55214.0,0.62038
