step,q_loss,v_loss,policy_loss,adv_mean,q_mean,elapsed_min
750,0.1418,0.0166,2.9483,-0.0168,0.753,0.06
1500,0.1224,0.0181,2.4476,-0.0244,1.037,0.12
2250,0.1556,0.036,2.1169,-0.0134,1.433,0.18
3000,0.1562,0.0373,2.064,0.0116,1.659,0.24
3750,0.17,0.0605,1.7535,0.0849,1.818,0.29
4500,0.1559,0.0632,1.6122,0.0216,1.818,0.35
5250,0.1658,0.0834,1.467,0.0243,1.869,0.4
6000,0.135,0.0894,1.3674,-0.036,1.818,0.46
6750,0.1565,0.0815,1.3499,0.023,1.879,0.52
7500,0.1178,0.1123,1.4565,0.0542,1.846,0.58
8250,0.124,0.0787,1.1809,-0.0235,1.928,0.63
9000,0.0859,0.087,1.1314,0.0201,1.821,0.69
9750,0.1069,0.0649,0.9345,0.0139,1.99,0.75
10500,0.1124,0.0772,1.0665,-0.1004,1.692,0.8
11250,0.0883,0.0899,1.1588,0.0585,1.761,0.86
12000,0.079,0.0706,0.956,0.0106,1.773,0.92
12750,0.074,0.0695,0.7894,0.0623,1.743,0.98
13500,0.0766,0.0677,0.9122,0.0199,1.94,1.03
14250,0.0694,0.0619,1.0062,0.0033,1.78,1.09
15000,0.0603,0.0691,0.8437,0.0398,1.875,1.14
