step,q_loss,v_loss,policy_loss,adv_mean,q_mean,elapsed_min
750,0.1546,0.0142,2.9503,-0.0707,0.875,0.07
1500,0.1347,0.0156,2.4822,-0.0764,1.188,0.13
2250,0.179,0.0311,2.1295,-0.1014,1.667,0.19
3000,0.1779,0.0318,2.0577,-0.0779,1.928,0.24
3750,0.2088,0.0532,1.7788,-0.0731,2.169,0.3
4500,0.1926,0.0599,1.6451,-0.1078,2.176,0.36
5250,0.2035,0.087,1.4668,-0.1233,2.308,0.41
6000,0.1789,0.094,1.4139,-0.1855,2.266,0.47
6750,0.1998,0.0886,1.3552,-0.1129,2.372,0.53
7500,0.1566,0.122,1.492,-0.1005,2.356,0.58
8250,0.1633,0.0897,1.1885,-0.1731,2.469,0.64
9000,0.117,0.1034,1.216,-0.1467,2.368,0.7
9750,0.1354,0.0758,0.9887,-0.1633,2.583,0.75
10500,0.1638,0.0936,1.0438,-0.2523,2.262,0.81
11250,0.1136,0.1026,1.1942,-0.0856,2.309,0.86
12000,0.0965,0.0778,0.9417,-0.0919,2.364,0.92
12750,0.1025,0.0811,0.8079,-0.0544,2.263,0.98
13500,0.098,0.0836,0.942,-0.085,2.53,1.04
14250,0.1085,0.0768,0.9768,-0.2015,2.381,1.09
15000,0.0908,0.0853,0.829,-0.0494,2.427,1.15
