step,cql_q_mean,naive_q_mean,cql_td,cql_term
750,-2.488,0.948,0.3223,2.1065
1500,-4.602,1.338,0.3304,0.9196
2250,-6.162,1.815,0.333,0.4687
3000,-7.305,2.095,0.2629,0.2402
3750,-8.327,2.457,0.2035,0.1391
4500,-9.12,2.938,0.1693,0.1065
5250,-9.713,3.406,0.096,0.0843
6000,-10.434,3.433,0.0976,0.0649
6750,-11.265,3.519,0.1053,0.0404
7500,-11.621,3.913,0.0658,0.0379
8250,-12.161,4.38,0.0586,0.032
9000,-12.753,4.203,0.0619,0.0219
9750,-13.084,4.896,0.0618,0.0213
10500,-13.459,5.235,0.0533,0.017
11250,-13.832,5.488,0.0417,0.0124
12000,-14.216,5.766,0.0486,0.0154
12750,-14.734,5.762,0.0519,0.0153
13500,-15.141,5.918,0.0514,0.0102
14250,-15.397,6.373,0.0364,0.0116
15000,-15.829,6.613,0.0454,0.0088
