step,cql_q_mean,naive_q_mean,cql_td,cql_term
750,-4.225,0.116,0.4453,1.3964
1500,-6.184,0.124,0.5503,0.9597
2250,-6.895,0.184,0.474,0.7913
3000,-7.842,0.209,0.5782,0.7428
3750,-8.57,0.258,0.5324,0.7119
4500,-9.432,0.282,0.5086,0.633
5250,-10.182,0.308,0.4809,0.5821
6000,-10.696,0.324,0.4729,0.582
6750,-11.313,0.344,0.3663,0.4699
7500,-11.987,0.356,0.3996,0.5696
8250,-12.369,0.395,0.3612,0.4818
9000,-12.995,0.403,0.3182,0.438
9750,-13.585,0.427,0.2632,0.3949
10500,-14.162,0.451,0.3364,0.4846
11250,-14.466,0.472,0.2513,0.3982
12000,-15.327,0.453,0.2447,0.3537
12750,-15.502,0.484,0.2636,0.3682
13500,-15.792,0.507,0.2679,0.374
14250,-16.663,0.528,0.2888,0.371
15000,-17.12,0.519,0.2068,0.3052
