step,cql_q_mean,naive_q_mean,cql_td,cql_term
750,-0.535,1.236,0.6209,3.6702
1500,-0.845,1.822,0.8375,3.0124
2250,-0.802,2.903,1.1544,2.5521
3000,-0.789,3.504,1.0431,2.3187
3750,-0.688,4.489,1.1308,2.0423
4500,-0.619,4.769,1.0095,1.9244
5250,-0.588,5.527,1.0906,1.7816
6000,-0.604,5.803,1.091,1.7728
6750,-0.678,6.538,0.9953,1.6422
7500,-0.752,6.798,1.098,1.7234
8250,-0.88,7.651,0.9006,1.5029
9000,-1.213,7.475,0.9768,1.4732
9750,-1.356,8.259,0.7136,1.3126
10500,-1.696,8.284,0.9378,1.3607
11250,-2.163,8.758,0.9487,1.4307
12000,-2.423,9.035,0.7433,1.2471
12750,-2.848,9.23,0.7222,1.1454
13500,-2.982,9.859,0.6083,1.216
14250,-3.45,9.884,0.6827,1.1543
15000,-3.874,10.145,0.6842,1.0127
