alpha,gamma,episodes,seed,success_rate,avg_return,avg_steps,elapsed_seconds
0.0,0.0,20,0,0.055,-1.0944,11.22,0.075498
0.0,0.0,20,1,0.065,-1.0511,10.055,0.053001
0.0,0.0,20,2,0.035,-1.0962,9.31,0.051001
0.0,0.0,20,3,0.045,-1.0826,9.63,0.0565
0.0,0.0,20,4,0.06,-1.0445,9.225,0.043499
0.0,0.0,20,5,0.05,-1.0807,10.035,0.047502
0.0,0.0,20,6,0.05,-1.0511,9.045,0.041499
0.0,0.0,20,7,0.04,-1.1017,10.085,0.048501
0.0,0.0,20,8,0.05,-1.0767,9.835,0.048
0.0,0.0,20,9,0.025,-1.1181,9.65,0.0475
0.0,0.0,20,10,0.03,-1.1128,9.64,0.052501
0.0,0.0,20,11,0.025,-1.1204,9.765,0.051999
0.0,0.0,20,12,0.04,-1.0759,9.04,0.0455
0.0,0.0,20,13,0.045,-1.0677,8.885,0.0515
0.0,0.0,20,14,0.03,-1.1158,9.79,0.049999
0.0,0.0,20,15,0.05,-1.06,9.245,0.048502
0.0,0.0,20,16,0.015,-1.1149,8.735,0.0465
0.0,0.0,20,17,0.02,-1.1024,8.365,0.057
0.0,0.0,20,18,0.035,-1.0943,9.215,0.051001
0.0,0.0,20,19,0.025,-1.1209,10.28,0.052
0.0,0.0,20,20,0.05,-1.0767,9.835,0.049999
0.0,0.0,20,21,0.045,-1.0581,8.405,0.047499
0.0,0.0,20,22,0.065,-1.059,10.45,0.054499
0.0,0.0,20,23,0.08,-0.9977,9.375,0.06
0.0,0.0,20,24,0.045,-1.0737,9.185,0.052001
0.0,0.0,20,25,0.03,-1.0884,8.42,0.0545
0.0,0.0,20,26,0.035,-1.0882,8.91,0.053001
0.0,0.0,20,27,0.02,-1.1135,8.92,0.052999
0.0,0.0,20,28,0.035,-1.0918,9.09,0.052
0.0,0.0,20,29,0.02,-1.1311,9.555,0.051999
0.0,0.0,20,30,0.055,-1.0606,9.53,0.051002
0.0,0.0,20,31,0.035,-1.0862,8.81,0.041
0.0,0.0,20,32,0.025,-1.0952,8.505,0.043499
0.0,0.0,20,33,0.03,-1.0956,9.025,0.0425
0.0,0.0,20,34,0.05,-1.0532,8.66,0.043501
0.0,0.0,20,35,0.06,-1.0474,9.37,0.046499
0.0,0.0,20,36,0.045,-1.0885,9.925,0.0515
0.0,0.0,20,37,0.065,-1.0462,10.055,0.058001
0.0,0.0,20,38,0.03,-1.1103,9.515,0.051
0.0,0.0,20,39,0.06,-1.0631,10.155,0.052
0.0,0.0,20,40,0.095,-0.9869,10.09,0.0545
0.0,0.0,20,41,0.055,-1.0653,9.765,0.0505
0.0,0.0,20,42,0.055,-1.0756,10.525,0.052999
0.0,0.0,20,43,0.045,-1.0749,9.245,0.044001
0.0,0.0,20,44,0.04,-1.0876,9.625,0.0535
0.0,0.0,20,45,0.055,-1.0541,9.205,0.059501
0.0,0.0,20,46,0.045,-1.0793,9.465,0.05
0.0,0.0,20,47,0.025,-1.1328,10.385,0.0555
0.0,0.0,20,48,0.04,-1.079,8.95,0.047501
0.0,0.0,20,49,0.07,-1.0493,10.465,0.052998
0.0,0.0,20,50,0.03,-1.1044,9.465,0.051499
0.0,0.0,20,51,0.05,-1.0662,9.555,0.053001
0.0,0.0,20,52,0.03,-1.1088,9.44,0.061501
0.0,0.0,20,53,0.08,-1.0175,9.875,0.053502
0.0,0.0,20,54,0.07,-1.0387,9.935,0.052498
0.0,0.0,20,55,0.03,-1.0994,8.97,0.046001
0.0,0.0,20,56,0.05,-1.0658,9.29,0.0505
0.0,0.0,20,57,0.055,-1.0638,9.69,0.048999
0.0,0.0,20,58,0.05,-1.0647,9.235,0.044001
0.0,0.0,20,59,0.065,-1.0288,9.185,0.042418
0.0,0.0,20,60,0.04,-1.0851,9.745,0.0475
0.0,0.0,20,61,0.035,-1.1033,9.665,0.050999
0.0,0.0,20,62,0.06,-1.0505,9.525,0.045501
0.0,0.0,20,63,0.045,-1.0705,10.005,0.051497
0.0,0.0,20,64,0.035,-1.0879,9.14,0.048499
0.0,0.0,20,65,0.03,-1.1088,9.685,0.055001
0.0,0.0,20,66,0.05,-1.082,10.345,0.060501
0.0,0.0,20,67,0.005,-1.1443,8.715,0.049502
0.0,0.0,20,68,0.05,-1.0682,9.41,0.046499
0.0,0.0,20,69,0.045,-1.0855,9.775,0.0435
0.0,0.0,20,70,0.035,-1.1058,9.79,0.047
0.0,0.0,20,71,0.03,-1.1223,10.115,0.048501
0.0,0.0,20,72,0.05,-1.0854,10.515,0.051
0.0,0.0,20,73,0.04,-1.066,8.545,0.0425
0.0,0.0,20,74,0.035,-1.0899,8.995,0.040499
0.0,0.0,20,75,0.05,-1.0745,10.215,0.0535
0.0,0.0,20,76,0.055,-1.0693,9.965,0.064
0.0,0.0,20,77,0.045,-1.0895,10.22,0.057501
0.0,0.0,20,78,0.045,-1.0825,9.87,0.053
0.0,0.0,20,79,0.035,-1.1233,10.665,0.054999
0.0,0.0,20,80,0.035,-1.0995,9.475,0.046502
0.0,0.0,20,81,0.07,-1.0308,9.54,0.050997
0.0,0.0,20,82,0.03,-1.0826,8.13,0.046001
0.0,0.0,20,83,0.03,-1.1194,9.97,0.064
0.0,0.0,20,84,0.04,-1.0928,9.885,0.0545
0.0,0.0,20,85,0.055,-1.0601,9.505,0.057001
0.0,0.0,20,86,0.025,-1.1148,9.485,0.056999
0.0,0.0,20,87,0.015,-1.1307,9.28,0.056999
0.0,0.0,20,88,0.045,-1.0944,10.71,0.0605
0.0,0.0,20,89,0.05,-1.0664,9.32,0.041501
0.0,0.0,20,90,0.04,-1.0922,9.61,0.047
0.0,0.0,20,91,0.06,-1.0456,9.28,0.047001
0.0,0.0,20,92,0.065,-1.0378,9.39,0.046999
0.0,0.0,20,93,0.045,-1.0735,9.175,0.0435
0.0,0.0,20,94,0.065,-1.038,9.645,0.054
0.0,0.0,20,95,0.035,-1.0918,9.335,0.056
0.0,0.0,20,96,0.055,-1.1001,11.505,0.065432
0.0,0.0,20,97,0.045,-1.0846,10.22,0.053
0.0,0.0,20,98,0.035,-1.0979,9.64,0.061998
0.0,0.0,20,99,0.045,-1.0832,9.66,0.0505
0.0,0.0,100,0,0.055,-1.0944,11.22,0.071001
0.0,0.0,100,1,0.065,-1.0511,10.055,0.0675
0.0,0.0,100,2,0.035,-1.0962,9.31,0.062
0.0,0.0,100,3,0.045,-1.0826,9.63,0.058501
0.0,0.0,100,4,0.06,-1.0445,9.225,0.0585
0.0,0.0,100,5,0.05,-1.0807,10.035,0.060502
0.0,0.0,100,6,0.05,-1.0511,9.045,0.055499
0.0,0.0,100,7,0.04,-1.1017,10.085,0.056998
0.0,0.0,100,8,0.05,-1.0767,9.835,0.064002
0.0,0.0,100,9,0.025,-1.1181,9.65,0.073499
0.0,0.0,100,10,0.03,-1.1128,9.64,0.067001
0.0,0.0,100,11,0.025,-1.1204,9.765,0.061001
0.0,0.0,100,12,0.04,-1.0759,9.04,0.063998
0.0,0.0,100,13,0.045,-1.0677,8.885,0.058003
0.0,0.0,100,14,0.03,-1.1158,9.79,0.067498
0.0,0.0,100,15,0.05,-1.06,9.245,0.0675
0.0,0.0,100,16,0.015,-1.1149,8.735,0.066998
0.0,0.0,100,17,0.02,-1.1024,8.365,0.065002
0.0,0.0,100,18,0.035,-1.0943,9.215,0.063501
0.0,0.0,100,19,0.025,-1.1209,10.28,0.069998
0.0,0.0,100,20,0.05,-1.0767,9.835,0.0585
0.0,0.0,100,21,0.045,-1.0581,8.405,0.051001
0.0,0.0,100,22,0.065,-1.059,10.45,0.0595
0.0,0.0,100,23,0.08,-0.9977,9.375,0.056001
0.0,0.0,100,24,0.045,-1.0737,9.185,0.0685
0.0,0.0,100,25,0.03,-1.0884,8.42,0.065499
0.0,0.0,100,26,0.035,-1.0882,8.91,0.064502
0.0,0.0,100,27,0.02,-1.1135,8.92,0.063501
0.0,0.0,100,28,0.035,-1.0918,9.09,0.070998
0.0,0.0,100,29,0.02,-1.1311,9.555,0.0745
0.0,0.0,100,30,0.055,-1.0606,9.53,0.066999
0.0,0.0,100,31,0.035,-1.0862,8.81,0.058999
0.0,0.0,100,32,0.025,-1.0952,8.505,0.059999
0.0,0.0,100,33,0.03,-1.0956,9.025,0.056501
0.0,0.0,100,34,0.05,-1.0532,8.66,0.051999
0.0,0.0,100,35,0.06,-1.0474,9.37,0.052999
0.0,0.0,100,36,0.045,-1.0885,9.925,0.059501
0.0,0.0,100,37,0.065,-1.0462,10.055,0.0615
0.0,0.0,100,38,0.03,-1.1103,9.515,0.058501
0.0,0.0,100,39,0.06,-1.0631,10.155,0.063498
0.0,0.0,100,40,0.095,-0.9869,10.09,0.071002
0.0,0.0,100,41,0.055,-1.0653,9.765,0.071002
0.0,0.0,100,42,0.055,-1.0756,10.525,0.074002
0.0,0.0,100,43,0.045,-1.0749,9.245,0.067497
0.0,0.0,100,44,0.04,-1.0876,9.625,0.075001
0.0,0.0,100,45,0.055,-1.0541,9.205,0.064999
0.0,0.0,100,46,0.045,-1.0793,9.465,0.062535
0.0,0.0,100,47,0.025,-1.1328,10.385,0.067964
0.0,0.0,100,48,0.04,-1.079,8.95,0.0635
0.0,0.0,100,49,0.07,-1.0493,10.465,0.070001
0.0,0.0,100,50,0.03,-1.1044,9.465,0.074001
0.0,0.0,100,51,0.05,-1.0662,9.555,0.0655
0.0,0.0,100,52,0.03,-1.1088,9.44,0.063001
0.0,0.0,100,53,0.08,-1.0175,9.875,0.064999
0.0,0.0,100,54,0.07,-1.0387,9.935,0.062499
0.0,0.0,100,55,0.03,-1.0994,8.97,0.0545
0.0,0.0,100,56,0.05,-1.0658,9.29,0.0595
0.0,0.0,100,57,0.055,-1.0638,9.69,0.06
0.0,0.0,100,58,0.05,-1.0647,9.235,0.06
0.0,0.0,100,59,0.065,-1.0288,9.185,0.066003
0.0,0.0,100,60,0.04,-1.0851,9.745,0.060999
0.0,0.0,100,61,0.035,-1.1033,9.665,0.066
0.0,0.0,100,62,0.06,-1.0505,9.525,0.067
0.0,0.0,100,63,0.045,-1.0705,10.005,0.062001
0.0,0.0,100,64,0.035,-1.0879,9.14,0.065498
0.0,0.0,100,65,0.03,-1.1088,9.685,0.0725
