alpha,gamma,episodes,seeds,success_mean,success_std,success_ci95,reliable_seed_rate,return_mean,steps_mean
0.0,0.0,20,100,0.04405,0.015369,0.003012,0.0,-1.080804,9.5677
0.0,0.0,100,100,0.04405,0.015369,0.003012,0.0,-1.080804,9.5677
0.0,0.0,500,100,0.04405,0.015369,0.003012,0.0,-1.080804,9.5677
0.0,0.0,2000,100,0.04405,0.015369,0.003012,0.0,-1.080804,9.5677
0.0,0.5,20,100,0.04405,0.015369,0.003012,0.0,-1.080804,9.5677
0.0,0.5,100,100,0.04405,0.015369,0.003012,0.0,-1.080804,9.5677
0.0,0.5,500,100,0.04405,0.015369,0.003012,0.0,-1.080804,9.5677
0.0,0.5,2000,100,0.04405,0.015369,0.003012,0.0,-1.080804,9.5677
0.0,0.8,20,100,0.04405,0.015369,0.003012,0.0,-1.080804,9.5677
0.0,0.8,100,100,0.04405,0.015369,0.003012,0.0,-1.080804,9.5677
0.0,0.8,500,100,0.04405,0.015369,0.003012,0.0,-1.080804,9.5677
0.0,0.8,2000,100,0.04405,0.015369,0.003012,0.0,-1.080804,9.5677
0.0,0.95,20,100,0.04405,0.015369,0.003012,0.0,-1.080804,9.5677
0.0,0.95,100,100,0.04405,0.015369,0.003012,0.0,-1.080804,9.5677
0.0,0.95,500,100,0.04405,0.015369,0.003012,0.0,-1.080804,9.5677
0.0,0.95,2000,100,0.04405,0.015369,0.003012,0.0,-1.080804,9.5677
0.0,0.99,20,100,0.04405,0.015369,0.003012,0.0,-1.080804,9.5677
0.0,0.99,100,100,0.04405,0.015369,0.003012,0.0,-1.080804,9.5677
0.0,0.99,500,100,0.04405,0.015369,0.003012,0.0,-1.080804,9.5677
0.0,0.99,2000,100,0.04405,0.015369,0.003012,0.0,-1.080804,9.5677
0.01,0.0,20,100,0.137,0.2993,0.058663,0.05,-0.778097,45.89185
0.01,0.0,100,100,0.12185,0.304655,0.059712,0.07,-0.796933,46.061
0.01,0.0,500,100,0.08475,0.252419,0.049474,0.04,-0.859725,47.3085
0.01,0.0,2000,100,0.23105,0.272699,0.053449,0.02,-0.636964,43.63175
0.01,0.5,20,100,0.05,0.219043,0.042932,0.05,-0.905,47.8
0.01,0.5,100,100,0.05,0.219043,0.042932,0.05,-0.905,47.8
0.01,0.5,500,100,0.26,0.440844,0.086405,0.26,-0.50644,38.582
0.01,0.5,2000,100,1.0,0.0,0.0,1.0,0.9,6.0
0.01,0.8,20,100,0.06,0.238683,0.046782,0.06,-0.886,47.36
0.01,0.8,100,100,0.0,0.0,0.0,0.0,-1.0,50.0
0.01,0.8,500,100,0.7,0.460566,0.090271,0.7,0.329797,19.21015
0.01,0.8,2000,100,1.0,0.0,0.0,1.0,0.9,6.0
0.01,0.95,20,100,0.02,0.140705,0.027578,0.02,-0.962,49.12
0.01,0.95,100,100,0.08,0.27266,0.053441,0.08,-0.848,46.48
0.01,0.95,500,100,1.0,0.0,0.0,1.0,0.9,6.0
0.01,0.95,2000,100,1.0,0.0,0.0,1.0,0.9,6.0
0.01,0.99,20,100,0.01,0.1,0.0196,0.01,-0.981,49.56
0.01,0.99,100,100,0.03,0.171447,0.033604,0.03,-0.943,48.68
0.01,0.99,500,100,1.0,0.0,0.0,1.0,0.9,6.0
0.01,0.99,2000,100,1.0,0.0,0.0,1.0,0.9,6.0
0.05,0.0,20,100,0.137,0.2993,0.058663,0.05,-0.778097,45.89185
0.05,0.0,100,100,0.12185,0.304655,0.059712,0.07,-0.796933,46.061
0.05,0.0,500,100,0.2397,0.264092,0.051762,0.01,-0.626501,43.54975
0.05,0.0,2000,100,0.74,0.032012,0.006274,0.0,0.122546,31.6127
0.05,0.5,20,100,0.04,0.196946,0.038601,0.04,-0.924,48.24
0.05,0.5,100,100,0.26,0.440844,0.086405,0.26,-0.506203,38.57015
0.05,0.5,500,100,1.0,0.0,0.0,1.0,0.9,6.0
0.05,0.5,2000,100,1.0,0.0,0.0,1.0,0.9,6.0
0.05,0.8,20,100,0.04,0.196946,0.038601,0.04,-0.924,48.24
0.05,0.8,100,100,0.6,0.492366,0.096504,0.6,0.14,23.6
0.05,0.8,500,100,1.0,0.0,0.0,1.0,0.9,6.0
0.05,0.8,2000,100,1.0,0.0,0.0,1.0,0.9,6.0
0.05,0.95,20,100,0.0,0.0,0.0,0.0,-1.0,50.0
0.05,0.95,100,100,0.86,0.348735,0.068352,0.86,0.634,12.16
0.05,0.95,500,100,1.0,0.0,0.0,1.0,0.9,6.0
0.05,0.95,2000,100,1.0,0.0,0.0,1.0,0.9,6.0
0.05,0.99,20,100,0.02,0.140705,0.027578,0.02,-0.962,49.12
0.05,0.99,100,100,0.93,0.256432,0.050261,0.93,0.767,9.08
0.05,0.99,500,100,1.0,0.0,0.0,1.0,0.9,6.0
0.05,0.99,2000,100,1.0,0.0,0.0,1.0,0.9,6.0
0.1,0.0,20,100,0.137,0.2993,0.058663,0.05,-0.778097,45.89185
0.1,0.0,100,100,0.18575,0.301355,0.059066,0.03,-0.699352,44.44085
0.1,0.0,500,100,0.6344,0.208551,0.040876,0.0,-0.032284,33.9686
0.1,0.0,2000,100,0.74,0.032012,0.006274,0.0,0.122546,31.6127
0.1,0.5,20,100,0.04,0.196946,0.038601,0.04,-0.924,48.24
0.1,0.5,100,100,1.0,0.0,0.0,1.0,0.9,6.0
0.1,0.5,500,100,1.0,0.0,0.0,1.0,0.9,6.0
0.1,0.5,2000,100,1.0,0.0,0.0,1.0,0.9,6.0
0.1,0.8,20,100,0.04,0.196946,0.038601,0.04,-0.924436,48.2618
0.1,0.8,100,100,1.0,0.0,0.0,1.0,0.9,6.0
0.1,0.8,500,100,1.0,0.0,0.0,1.0,0.9,6.0
0.1,0.8,2000,100,1.0,0.0,0.0,1.0,0.9,6.0
0.1,0.95,20,100,0.04,0.196946,0.038601,0.04,-0.924,48.24
0.1,0.95,100,100,1.0,0.0,0.0,1.0,0.9,6.0
0.1,0.95,500,100,1.0,0.0,0.0,1.0,0.9,6.0
0.1,0.95,2000,100,1.0,0.0,0.0,1.0,0.9,6.0
0.1,0.99,20,100,0.06,0.238683,0.046782,0.06,-0.886,47.36
0.1,0.99,100,100,1.0,0.0,0.0,1.0,0.9,6.0
0.1,0.99,500,100,1.0,0.0,0.0,1.0,0.9,6.0
0.1,0.99,2000,100,1.0,0.0,0.0,1.0,0.9,6.0
0.5,0.0,20,100,0.2112,0.340852,0.066807,0.08,-0.657365,43.63945
0.5,0.0,100,100,0.6649,0.185559,0.03637,0.0,0.010669,33.37645
0.5,0.0,500,100,0.74,0.032012,0.006274,0.0,0.122546,31.6127
0.5,0.0,2000,100,0.74,0.032012,0.006274,0.0,0.122546,31.6127
0.5,0.5,20,100,0.28,0.451261,0.088447,0.28,-0.469622,37.7611
0.5,0.5,100,100,1.0,0.0,0.0,1.0,0.9,6.0
0.5,0.5,500,100,1.0,0.0,0.0,1.0,0.9,6.0
0.5,0.5,2000,100,1.0,0.0,0.0,1.0,0.9,6.0
0.5,0.8,20,100,0.34,0.476095,0.093315,0.34,-0.354566,35.0683
0.5,0.8,100,100,1.0,0.0,0.0,1.0,0.9,6.0
0.5,0.8,500,100,1.0,0.0,0.0,1.0,0.9,6.0
0.5,0.8,2000,100,1.0,0.0,0.0,1.0,0.9,6.0
0.5,0.95,20,100,0.34,0.476095,0.093315,0.34,-0.354,35.04
0.5,0.95,100,100,1.0,0.0,0.0,1.0,0.9,6.0
0.5,0.95,500,100,1.0,0.0,0.0,1.0,0.9,6.0
0.5,0.95,2000,100,1.0,0.0,0.0,1.0,0.9,6.0
0.5,0.99,20,100,0.42,0.496045,0.097225,0.42,-0.20221,31.5305
0.5,0.99,100,100,1.0,0.0,0.0,1.0,0.9,6.0
0.5,0.99,500,100,1.0,0.0,0.0,1.0,0.9,6.0
0.5,0.99,2000,100,1.0,0.0,0.0,1.0,0.9,6.0
