update,avg_return,policy_loss,value_loss,entropy,elapsed_min
5,6.5063,-0.0347,1.5171,5.2363,0.07
10,7.3375,-0.0228,1.2493,5.0825,0.15
15,9.575,-0.0369,1.4084,4.6665,0.24
20,11.6281,-0.031,0.9705,4.1624,0.34
25,13.8406,-0.0241,0.8828,3.9911,0.44
30,14.2438,-0.027,0.9427,3.6827,0.54
35,13.9438,-0.0244,1.0308,3.4947,0.64
40,13.9344,-0.0246,0.8632,3.2921,0.74
45,15.9063,-0.0191,0.5664,3.1666,0.11
50,15.1375,-0.0182,0.607,3.1472,0.21
55,16.2,-0.0172,0.5932,3.0655,0.31
60,15.5531,-0.0202,0.5468,3.0068,0.42
65,15.1,-0.023,0.7004,2.937,0.52
70,15.4469,-0.0258,0.6586,2.9629,0.63
75,15.425,-0.0198,0.5673,3.0129,0.73
80,15.4719,-0.022,0.6521,2.9847,0.84
