epoch,loss,valid_hit@10,valid_mrr,seconds
1,1.896764,0.60017,0.444879,2.6
2,1.296048,0.703066,0.507772,2.3
3,1.179476,0.705111,0.509699,2.3
4,1.147641,0.704429,0.51342,2.3
5,1.123436,0.703407,0.51282,2.3
6,1.100144,0.706133,0.513422,2.3
7,1.076633,0.703407,0.51711,2.3
8,1.05294,0.706474,0.514986,2.3
9,1.029825,0.706814,0.51694,2.3
10,1.007153,0.706303,0.516348,2.3
11,0.987171,0.703748,0.518235,2.3
12,0.968426,0.703237,0.518245,2.3
13,0.951801,0.708518,0.519252,2.3
14,0.93556,0.702215,0.517893,2.3
15,0.923446,0.704089,0.518938,2.3
16,0.909908,0.70017,0.519232,2.3
17,0.89873,0.703918,0.518472,2.3
18,0.888605,0.7,0.520707,2.3
19,0.877592,0.697785,0.520096,2.3
20,0.869365,0.700341,0.520017,2.3
